epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.03518268093466759,3.4472272396087646
1,9,0.09375,3.30511474609375,,
1,17,,,0.07577808201313019,6.775082588195801
2,19,0.09375,3.2373228073120117,,
2,26,,,0.05683355778455734,5.391687393188477
3,29,0.0625,3.20037841796875,,
3,35,,,0.08525034040212631,4.114877700805664
4,39,0.0,3.24908447265625,,
4,44,,,0.10148850083351135,3.5091922283172607
5,49,0.03125,3.24847412109375,,
5,53,,,0.08254397660493851,4.908054351806641
6,59,0.09375,3.07037353515625,,
6,62,,,0.08525034040212631,3.443248748779297
7,69,0.0625,3.25390625,,
7,71,,,0.06495264172554016,4.790579319000244
8,79,0.03125,3.309356689453125,,
8,80,,,0.09607578068971634,3.179328680038452
9,89,0.0,3.783203125,,
9,89,,,0.10284167528152466,3.2845213413238525
10,98,,,0.12449255585670471,3.3033640384674072
11,99,0.09375,3.10308837890625,,
11,107,,,0.1190798357129097,3.196077585220337
12,109,0.1875,2.97247314453125,,
12,116,,,0.13802435994148254,3.1298582553863525
13,119,0.15625,3.01922607421875,,
13,125,,,0.12719891965389252,3.284529209136963
14,129,0.15625,2.8348846435546875,,
14,134,,,0.10419485718011856,3.854714870452881
15,139,0.15625,3.116790771484375,,
15,143,,,0.13396482169628143,3.323112726211548
16,149,0.1875,2.982696533203125,,
16,152,,,0.15020297467708588,3.191739320755005
17,159,0.0625,3.201080322265625,,
17,161,,,0.1190798357129097,3.157132387161255
18,169,0.125,2.815704345703125,,
18,170,,,0.1190798357129097,3.2646615505218506
19,179,0.0,3.2333984375,,
19,179,,,0.12990528345108032,3.3255796432495117
20,188,,,0.16779431700706482,3.0964183807373047
21,189,0.1875,2.642333984375,,
21,197,,,0.14208389818668365,3.0856211185455322
22,199,0.09375,2.744598388671875,,
22,206,,,0.15155616402626038,3.114168167114258
23,209,0.15625,2.79656982421875,,
23,215,,,0.12990528345108032,3.1147937774658203
24,219,0.3125,2.450592041015625,,
24,224,,,0.1204330176115036,3.12595796585083
25,229,0.09375,2.971527099609375,,
25,233,,,0.12990528345108032,3.345284938812256
26,239,0.15625,2.83575439453125,,
26,242,,,0.14749661087989807,3.2206618785858154
27,249,0.25,2.5176849365234375,,
27,251,,,0.13802435994148254,4.189404487609863
28,259,0.15625,2.4817581176757812,,
28,260,,,0.12855209410190582,3.516079902648926
29,269,0.0,3.36376953125,,
29,269,,,0.17997293174266815,2.941533088684082
30,278,,,0.17997293174266815,2.8528497219085693
31,279,0.3125,2.415283203125,,
31,287,,,0.16914749145507812,2.8987233638763428
32,289,0.3125,2.2895355224609375,,
32,296,,,0.18267929553985596,2.8599963188171387
33,299,0.28125,2.4407501220703125,,
33,305,,,0.18673883378505707,2.884861469268799
34,309,0.21875,2.37786865234375,,
34,314,,,0.15155616402626038,3.0930798053741455
35,319,0.25,2.6182403564453125,,
35,323,,,0.1664411425590515,2.8763577938079834
36,329,0.1875,2.474273681640625,,
36,332,,,0.17050068080425262,2.8666951656341553
37,339,0.21875,2.4880752563476562,,
37,341,,,0.17726658284664154,2.9569895267486572
38,349,0.34375,2.3378143310546875,,
38,350,,,0.18809202313423157,2.8647751808166504
39,359,0.0,4.2822265625,,
39,359,,,0.18809202313423157,2.9180164337158203
40,368,,,0.17320702970027924,3.18391489982605
41,369,0.28125,2.3076171875,,
41,377,,,0.18403246998786926,2.9240198135375977
42,379,0.21875,2.58245849609375,,
42,386,,,0.20568335056304932,2.830389976501465
43,389,0.25,2.3448333740234375,,
43,395,,,0.20703653991222382,2.8214480876922607
44,399,0.21875,2.297393798828125,,
44,404,,,0.18538565933704376,2.8884382247924805
45,409,0.25,2.231170654296875,,
45,413,,,0.21786198019981384,2.7772514820098877
46,419,0.3125,2.2379684448242188,,
46,422,,,0.20974288880825043,2.7730185985565186
47,429,0.1875,2.56072998046875,,
47,431,,,0.2016238123178482,2.863870859146118
48,439,0.28125,2.3222198486328125,,
48,440,,,0.21380244195461273,2.9126412868499756
49,449,0.0,3.919921875,,
49,449,,,0.2016238123178482,2.873385190963745
