epoch,lr-Adam,step,train_l1_loss,train_loss,train_mse_loss,train_psnr,train_ssim,val_l1_loss,val_loss,val_mse_loss,val_psnr,val_ssim
,0.001,9,,,,,,,,,,
0,,9,1.0937076807022095,1.7573914527893066,1.648020625114441,-2.169626474380493,0.017195623368024826,,,,,
,0.001,19,,,,,,,,,,
0,,19,1.0923649072647095,1.7527008056640625,1.6434643268585205,-2.1576027870178223,0.012818774208426476,,,,,
,0.001,29,,,,,,,,,,
0,,29,1.0836198329925537,1.7309393882751465,1.622577428817749,-2.1020541191101074,-0.0026139523833990097,,,,,
,0.001,39,,,,,,,,,,
0,,39,1.0793169736862183,1.7008939981460571,1.5929622650146484,-2.022055149078369,0.03005228564143181,,,,,
,0.001,49,,,,,,,,,,
0,,49,0.9787076115608215,1.5079821348190308,1.410111427307129,-1.4925346374511719,0.051345255225896835,,,,,
0,,56,,,,,,0.8210570812225342,1.0742852687835693,0.9921796321868896,0.05229739472270012,0.09035351872444153
,0.001,59,,,,,,,,,,
1,,59,1.0887967348098755,1.7400909662246704,1.631211280822754,-2.1251022815704346,0.05458100140094757,,,,,
,0.001,69,,,,,,,,,,
1,,69,0.9493657350540161,1.4449819326400757,1.3500453233718872,-1.303483486175537,0.08233538269996643,,,,,
,0.001,79,,,,,,,,,,
1,,79,1.0193195343017578,1.5841617584228516,1.4822298288345337,-1.7091554403305054,0.09513796120882034,,,,,
,0.001,89,,,,,,,,,,
1,,89,0.9866278767585754,1.5235271453857422,1.424864411354065,-1.5377357006072998,0.0714038833975792,,,,,
,0.001,99,,,,,,,,,,
1,,99,0.9101348519325256,1.359751582145691,1.2687381505966187,-1.0337198972702026,0.11625158786773682,,,,,
,0.001,109,,,,,,,,,,
1,,109,0.9838266968727112,1.5513012409210205,1.452918529510498,-1.6224125623703003,0.10325755178928375,,,,,
1,,113,,,,,,0.7450563311576843,0.957852303981781,0.8833466172218323,0.5605320334434509,0.1575523316860199
,0.001,119,,,,,,,,,,
2,,119,0.8460186719894409,1.249315857887268,1.164713978767395,-0.6621928811073303,0.1380186825990677,,,,,
,0.001,129,,,,,,,,,,
2,,129,0.9467769265174866,1.43764328956604,1.3429656028747559,-1.2806488275527954,0.12509766221046448,,,,,
,0.001,139,,,,,,,,,,
2,,139,0.8832914233207703,1.3373748064041138,1.2490456104278564,-0.9657829403877258,0.14695759117603302,,,,,
,0.001,149,,,,,,,,,,
2,,149,0.9330738186836243,1.4341719150543213,1.3408645391464233,-1.2738490104675293,0.13960081338882446,,,,,
,0.001,159,,,,,,,,,,
2,,159,0.9380152225494385,1.3876398801803589,1.293838381767273,-1.1188002824783325,0.08027138561010361,,,,,
,0.001,169,,,,,,,,,,
2,,169,0.8599798083305359,1.2832025289535522,1.19720458984375,-0.7816837430000305,0.15840613842010498,,,,,
2,,170,,,,,,0.730815052986145,0.9372410178184509,0.8641594648361206,0.6565007567405701,0.16813690960407257
,0.001,179,,,,,,,,,,
3,,179,0.9115515351295471,1.3818455934524536,1.2906904220581055,-1.1082208156585693,0.17201024293899536,,,,,
,0.001,189,,,,,,,,,,
3,,189,0.9294126033782959,1.4328858852386475,1.33994460105896,-1.2708683013916016,0.11298134922981262,,,,,
,0.001,199,,,,,,,,,,
3,,199,0.941337525844574,1.4094070196151733,1.3152732849121094,-1.1901602745056152,0.09269505739212036,,,,,
,0.001,209,,,,,,,,,,
3,,209,0.9248687028884888,1.4129186868667603,1.3204318284988403,-1.2071598768234253,0.10478806495666504,,,,,
,0.001,219,,,,,,,,,,
3,,219,1.0028400421142578,1.5362358093261719,1.435951828956604,-1.5713989734649658,0.040554583072662354,,,,,
3,,227,,,,,,0.721061646938324,0.9281551241874695,0.8560490608215332,0.6980888247489929,0.18571792542934418
,0.001,229,,,,,,,,,,
4,,229,0.9320868253707886,1.3996399641036987,1.3064312934875488,-1.1608660221099854,0.08985533565282822,,,,,
,0.001,239,,,,,,,,,,
4,,239,0.9554800391197205,1.4884217977523804,1.392873764038086,-1.4391175508499146,0.15886810421943665,,,,,
,0.001,249,,,,,,,,,,
4,,249,0.9215197563171387,1.416032075881958,1.3238800764083862,-1.2184864282608032,0.12277954816818237,,,,,
,0.001,259,,,,,,,,,,
4,,259,0.8768523335456848,1.3121216297149658,1.2244364023208618,-0.8793622851371765,0.14734581112861633,,,,,
,0.001,269,,,,,,,,,,
4,,269,0.8217257857322693,1.240293264389038,1.1581206321716309,-0.6375384330749512,0.17966228723526,,,,,
,0.001,279,,,,,,,,,,
4,,279,0.8716297745704651,1.3208659887313843,1.2337030172348022,-0.9121062159538269,0.15718743205070496,,,,,
4,,284,,,,,,0.7144889235496521,0.9216735363006592,0.8502247929573059,0.7279969453811646,0.19684448838233948
,0.001,289,,,,,,,,,,
5,,289,0.9040026068687439,1.2803198099136353,1.1899195909500122,-0.7551761269569397,0.0659894049167633,,,,,
,0.001,299,,,,,,,,,,
5,,299,0.9342994689941406,1.4422584772109985,1.3488285541534424,-1.299567461013794,0.11521968245506287,,,,,
,0.001,309,,,,,,,,,,
