epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.09375,3.4005126953125,,
0,19,0.0625,3.38671875,,
0,24,,,0.050067659467458725,3.3277430534362793
1,29,0.03125,3.4349365234375,,
1,39,0.0625,3.56011962890625,,
1,49,0.0,3.625,,
1,49,,,0.058186739683151245,3.32973575592041
2,59,0.03125,3.349029541015625,,
2,69,0.09375,3.386474609375,,
2,74,,,0.07171853631734848,3.294159173965454
3,79,0.125,3.254180908203125,,
3,89,0.0625,3.335693359375,,
3,99,0.0,3.751953125,,
3,99,,,0.06765899807214737,3.2895596027374268
4,109,0.03125,3.386871337890625,,
4,119,0.0,3.33251953125,,
4,124,,,0.07036536186933517,3.2884294986724854
5,129,0.09375,3.31060791015625,,
5,139,0.0625,3.363677978515625,,
5,149,0.0,3.40625,,
5,149,,,0.0811907947063446,3.2868611812591553
6,159,0.03125,3.460205078125,,
6,169,0.0625,3.4459228515625,,
6,174,,,0.06901217997074127,3.2811906337738037
7,179,0.03125,3.44696044921875,,
7,189,0.0,3.420989990234375,,
7,199,0.1428571492433548,3.3523995876312256,,
7,199,,,0.08930987864732742,3.282301187515259
8,209,0.0625,3.33819580078125,,
8,219,0.03125,3.53485107421875,,
8,224,,,0.08930987864732742,3.2765073776245117
9,229,0.0625,3.4146728515625,,
9,239,0.125,3.28460693359375,,
9,249,0.0,3.4037387371063232,,
9,249,,,0.08660351485013962,3.2762556076049805
10,259,0.03125,3.30682373046875,,
10,269,0.03125,3.32550048828125,,
10,274,,,0.06765899807214737,3.2806196212768555
11,279,0.0625,3.35369873046875,,
11,289,0.125,3.123992919921875,,
11,299,0.0,3.435825824737549,,
11,299,,,0.0811907947063446,3.281515598297119
12,309,0.03125,3.422149658203125,,
12,319,0.0625,3.38995361328125,,
12,324,,,0.08795669674873352,3.2719204425811768
13,329,0.125,3.2891845703125,,
13,339,0.125,3.309844970703125,,
13,349,0.0,3.373046875,,
13,349,,,0.08930987864732742,3.269979953765869
14,359,0.0625,3.22216796875,,
14,369,0.09375,3.39886474609375,,
14,374,,,0.09201623499393463,3.286351442337036
