epoch,step,train_loss,val_loss
0,9,1.5221636295318604,
0,19,1.5251699686050415,
0,29,1.5414454936981201,
0,39,1.4721654653549194,
0,49,1.4967159032821655,
0,56,,0.9504769444465637
1,59,1.5214555263519287,
1,69,1.435682773590088,
1,79,1.2133828401565552,
1,89,1.499516487121582,
1,99,1.380113124847412,
1,109,1.4209556579589844,
1,113,,0.8819644451141357
2,119,1.2176676988601685,
2,129,1.3606778383255005,
2,139,1.2713651657104492,
2,149,1.218600869178772,
2,159,1.2967716455459595,
2,169,1.2080694437026978,
2,170,,0.8590860962867737
3,179,1.3465713262557983,
3,189,1.176511287689209,
3,199,1.2948788404464722,
3,209,1.3798893690109253,
3,219,1.3023000955581665,
3,227,,0.8514418601989746
4,229,1.3770368099212646,
4,239,1.3379566669464111,
4,249,1.2894679307937622,
4,259,1.2677152156829834,
4,269,1.2898520231246948,
4,279,1.3199995756149292,
4,284,,0.8470332622528076
5,289,1.3300182819366455,
5,299,1.2376806735992432,
5,309,1.3420661687850952,
5,319,1.3549377918243408,
5,329,1.2073265314102173,
5,339,1.3267337083816528,
5,341,,0.8428913950920105
6,349,1.2833000421524048,
6,359,1.3324458599090576,
6,369,1.3815016746520996,
6,379,1.3924174308776855,
6,389,1.2836250066757202,
6,398,,0.8416658639907837
7,399,1.2117971181869507,
7,409,1.1231967210769653,
7,419,1.3250178098678589,
7,429,1.2962005138397217,
7,439,1.2081598043441772,
7,449,1.150273323059082,
7,455,,0.8412847518920898
8,459,1.3954204320907593,
8,469,1.3148046731948853,
8,479,1.2084871530532837,
8,489,1.2708357572555542,
8,499,1.1895393133163452,
8,509,1.2378078699111938,
8,512,,0.840694785118103
9,519,1.27059006690979,
9,529,1.1756535768508911,
9,539,1.2474603652954102,
9,549,1.1914217472076416,
9,559,1.218156099319458,
9,569,1.212815761566162,
9,569,,0.8414806127548218
10,579,1.2672024965286255,
10,589,1.4170597791671753,
10,599,1.2222797870635986,
10,609,1.2567050457000732,
10,619,1.4033188819885254,
10,626,,0.8390224575996399
11,629,1.3499398231506348,
11,639,1.1921021938323975,
11,649,1.2314876317977905,
11,659,1.2409201860427856,
11,669,1.198974370956421,
11,679,1.357107162475586,
11,683,,0.8409803509712219
12,689,1.3950339555740356,
12,699,1.2344739437103271,
12,709,1.2021878957748413,
12,719,1.3110789060592651,
12,729,1.1233912706375122,
12,739,1.2119389772415161,
12,740,,0.8387712240219116
13,749,1.3497990369796753,
13,759,1.3245587348937988,
13,769,1.3364614248275757,
13,779,1.2923591136932373,
13,789,1.2280092239379883,
13,797,,0.8384703993797302
14,799,1.3675075769424438,
14,809,1.2337132692337036,
14,819,1.1759674549102783,
14,829,1.2123922109603882,
14,839,1.3763372898101807,
14,849,1.2552604675292969,
14,854,,0.8394272327423096
15,859,1.1731537580490112,
15,869,1.2270594835281372,
15,879,1.2816147804260254,
15,889,1.3762506246566772,
15,899,1.4038268327713013,
15,909,1.3145127296447754,
