epoch,step,train_l1_loss,train_loss,train_mse_loss,train_psnr,train_ssim,val_l1_loss,val_loss,val_mse_loss,val_psnr,val_ssim
0,9,1.1119619607925415,1.8227602243423462,1.711564064025879,11.21438217163086,-0.0020829597488045692,,,,,
0,19,1.0333812236785889,1.6073278188705444,1.5039896965026855,11.775864601135254,0.016000326722860336,,,,,
0,29,1.122480869293213,1.8223059177398682,1.7100578546524048,11.218205451965332,0.012321810238063335,,,,,
0,39,1.0023747682571411,1.5625911951065063,1.4623537063598633,11.897789001464844,0.04438422620296478,,,,,
0,49,0.9997155666351318,1.5305572748184204,1.4305857419967651,11.99317455291748,0.045859623700380325,,,,,
0,56,,,,,,0.806810736656189,1.0489177703857422,0.9682368636131287,13.707212448120117,0.1475093513727188
1,59,0.9462236762046814,1.4155478477478027,1.3209254741668701,12.339529991149902,0.08618522435426712,,,,,
1,69,0.9984546899795532,1.5580832958221436,1.4582377672195435,11.910030364990234,0.10240855067968369,,,,,
1,79,1.0000360012054443,1.5509024858474731,1.4508988857269287,11.931941986083984,0.11864476650953293,,,,,
1,89,0.9727252721786499,1.520265817642212,1.4229933023452759,12.016284942626953,0.15032200515270233,,,,,
1,99,0.955024778842926,1.455503225326538,1.360000729560852,12.212923049926758,0.09983474016189575,,,,,
1,109,0.9480993151664734,1.4166771173477173,1.3218672275543213,12.336435317993164,0.12681059539318085,,,,,
1,113,,,,,,0.7501515746116638,0.9657402038574219,0.8907250165939331,14.072660446166992,0.2117946296930313
2,119,0.9809780716896057,1.4986404180526733,1.4005426168441772,12.085350036621094,0.18429958820343018,,,,,
2,129,0.9278672337532043,1.41153085231781,1.31874418258667,12.346707344055176,0.21740704774856567,,,,,
2,139,0.9255306720733643,1.4115182161331177,1.318965196609497,12.345979690551758,0.151993989944458,,,,,
2,149,0.9696714282035828,1.4818195104599,1.384852409362793,12.134279251098633,0.12164684385061264,,,,,
2,159,0.8979048728942871,1.3459612131118774,1.2561707496643066,12.557826042175293,0.18199576437473297,,,,,
2,169,0.9332096576690674,1.4306764602661133,1.3373554944992065,12.285844802856445,0.2189222276210785,,,,,
2,170,,,,,,0.7284418940544128,0.9366073608398438,0.8637630343437195,14.20706558227539,0.24322256445884705
3,179,0.8983343839645386,1.3779816627502441,1.2881481647491455,12.448655128479004,0.2169782817363739,,,,,
3,189,0.9253953099250793,1.413915991783142,1.3213764429092407,12.338047981262207,0.1908714771270752,,,,,
3,199,0.898823082447052,1.3566960096359253,1.2668137550354004,12.521185874938965,0.1524968445301056,,,,,
3,209,0.8703404068946838,1.3058265447616577,1.2187925577163696,12.68901538848877,0.20711573958396912,,,,,
3,219,0.8995301127433777,1.3871978521347046,1.2972447872161865,12.41809368133545,0.21798568964004517,,,,,
3,227,,,,,,0.7196375131607056,0.9277917146682739,0.8558279275894165,14.247533798217773,0.26059144735336304
4,229,0.929255485534668,1.422570824623108,1.3296452760696411,12.310956001281738,0.20491871237754822,,,,,
4,239,0.9136987328529358,1.326743245124817,1.2353733777999878,12.630331039428711,0.23648028075695038,,,,,
4,249,0.9406097531318665,1.4550760984420776,1.3610150814056396,12.209683418273926,0.17264966666698456,,,,,
4,259,0.9520680904388428,1.4708995819091797,1.3756927251815796,12.16309928894043,0.20575690269470215,,,,,
4,269,0.9285446405410767,1.4314416646957397,1.3385871648788452,12.28184700012207,0.17043036222457886,,,,,
4,279,0.9259730577468872,1.4471244812011719,1.3545271158218384,12.230436325073242,0.1803322434425354,,,,,
4,284,,,,,,0.7180724740028381,0.9248692989349365,0.8530619740486145,14.261646270751953,0.26973679661750793
5,289,0.8744837641716003,1.3352712392807007,1.247822880744934,12.586784362792969,0.19431078433990479,,,,,
5,299,0.9709737300872803,1.4877495765686035,1.3906521797180176,12.116127967834473,0.2366531938314438,,,,,
5,309,0.892208456993103,1.3574295043945312,1.268208622932434,12.516407012939453,0.16796568036079407,,,,,
5,319,0.9452552795410156,1.4455931186676025,1.3510675430297852,12.24154281616211,0.18530212342739105,,,,,
5,329,0.8741024136543274,1.3198609352111816,1.2324507236480713,12.640618324279785,0.23210996389389038,,,,,
5,339,0.9208950996398926,1.4098427295684814,1.3177531957626343,12.34997272491455,0.19253027439117432,,,,,
5,341,,,,,,0.7109380960464478,0.9204996824264526,0.8494058847427368,14.280611991882324,0.2690087854862213
6,349,0.9372649788856506,1.4423205852508545,1.348594069480896,12.249500274658203,0.17791393399238586,,,,,
6,359,0.8774782419204712,1.3366332054138184,1.2488853931427002,12.583087921142578,0.25454291701316833,,,,,
6,369,0.9505407214164734,1.4567714929580688,1.3617174625396729,12.207443237304688,0.18303556740283966,,,,,
6,379,0.9070616960525513,1.4395999908447266,1.3488938808441162,12.24853515625,0.2080010175704956,,,,,
6,389,0.8679133653640747,1.2902750968933105,1.2034837007522583,12.743910789489746,0.23903849720954895,,,,,
6,398,,,,,,0.7089853882789612,0.9171457886695862,0.846247136592865,14.296867370605469,0.2738543152809143
7,399,0.9792987108230591,1.4809783697128296,1.3830485343933105,12.139938354492188,0.2225937843322754,,,,,
7,409,0.8337388634681702,1.249879240989685,1.1665053367614746,12.879446029663086,0.2476736605167389,,,,,
7,419,0.8843857049942017,1.336789608001709,1.248350977897644,12.584946632385254,0.18775686621665955,,,,,
7,429,0.85768061876297,1.268204689025879,1.1824365854263306,12.820534706115723,0.25632351636886597,,,,,
7,439,0.863005518913269,1.2946274280548096,1.208326816558838,12.726469039916992,0.21367129683494568,,,,,
7,449,0.9930259585380554,1.5465823411941528,1.447279691696167,11.942789077758789,0.2342870533466339,,,,,
7,455,,,,,,0.7105122208595276,0.9171753525733948,0.8461242318153381,14.297467231750488,0.28319650888442993
8,459,0.8532279133796692,1.2904713153839111,1.2051485776901245,12.737907409667969,0.22529682517051697,,,,,
8,469,0.8579046130180359,1.2950206995010376,1.2092301845550537,12.723223686218262,0.23235788941383362,,,,,
8,479,0.8117918372154236,1.1920579671859741,1.110878825187683,13.091647148132324,0.23386099934577942,,,,,
8,489,0.9442452788352966,1.4728693962097168,1.3784449100494385,12.1544189453125,0.21736662089824677,,,,,
8,499,0.9162208437919617,1.4134353399276733,1.3218132257461548,12.3366117477417,0.23743264377117157,,,,,
8,509,0.8823651075363159,1.3650987148284912,1.2768621444702148,12.486873626708984,0.21329569816589355,,,,,
8,512,,,,,,0.7051745057106018,0.9142400026321411,0.8437226414680481,14.309974670410156,0.2877257764339447
9,519,0.9336372017860413,1.4680064916610718,1.3746427297592163,12.166415214538574,0.20506873726844788,,,,,
9,529,0.9070050120353699,1.3775070905685425,1.286806583404541,12.453180313110352,0.21638773381710052,,,,,
9,539,0.9179261922836304,1.4241228103637695,1.3323302268981934,12.30219554901123,0.19240820407867432,,,,,
9,549,0.9155165553092957,1.412956714630127,1.321405053138733,12.337953567504883,0.23416554927825928,,,,,
9,559,0.8329002857208252,1.2609059810638428,1.177616000175476,12.838276863098145,0.22408771514892578,,,,,
9,569,0.9349523782730103,1.41736900806427,1.32387375831604,12.32984733581543,0.1216740757226944,,,,,
9,569,,,,,,0.7054980397224426,0.9142479300498962,0.8436983823776245,14.310128211975098,0.2862412631511688
10,579,0.9054657816886902,1.4002832174301147,1.3097366094589233,12.376474380493164,0.2059725522994995,,,,,
10,589,0.8727763295173645,1.2950551509857178,1.207777500152588,12.72844409942627,0.26206374168395996,,,,,
10,599,0.9137702584266663,1.3760162591934204,1.2846392393112183,12.460501670837402,0.22855991125106812,,,,,
10,609,0.8529094457626343,1.325240135192871,1.2399492263793945,12.614274024963379,0.2423999011516571,,,,,
10,619,0.872390627861023,1.3090237379074097,1.2217847108840942,12.678366661071777,0.1917637139558792,,,,,
10,626,,,,,,0.7051922678947449,0.9139084815979004,0.843389093875885,14.311724662780762,0.2923002541065216
11,629,0.9251902103424072,1.4141589403152466,1.321639895439148,12.337181091308594,0.24663037061691284,,,,,
11,639,0.9237849116325378,1.4370062351226807,1.3446277379989624,12.262292861938477,0.19732722640037537,,,,,
11,649,0.8250317573547363,1.2595561742782593,1.1770529747009277,12.840353012084961,0.24950605630874634,,,,,
11,659,0.9895915389060974,1.5815727710723877,1.4826135635375977,11.838033676147461,0.18855008482933044,,,,,
11,669,0.9256307482719421,1.4639091491699219,1.371346116065979,12.176841735839844,0.22644492983818054,,,,,
11,679,0.7717618346214294,1.130401849746704,1.0532256364822388,13.323099136352539,0.2492895871400833,,,,,
11,683,,,,,,0.7050779461860657,0.9136871099472046,0.8431792259216309,14.312801361083984,0.2976292669773102
12,689,0.8768308162689209,1.3080579042434692,1.2203748226165771,12.683380126953125,0.1928856521844864,,,,,
12,699,0.9590875506401062,1.4652544260025024,1.3693456649780273,12.183182716369629,0.2430078685283661,,,,,
12,709,0.8752286434173584,1.3812344074249268,1.293711543083191,12.429939270019531,0.24801290035247803,,,,,
12,719,0.8727054595947266,1.3377504348754883,1.2504799365997314,12.577546119689941,0.2209433615207672,,,,,
12,729,0.9505875706672668,1.5095875263214111,1.414528727531433,12.042195320129395,0.20852816104888916,,,,,
12,739,0.8528750538825989,1.2676371335983276,1.182349681854248,12.820853233337402,0.23050226271152496,,,,,
12,740,,,,,,0.7077791094779968,0.9141757488250732,0.843397855758667,14.311613082885742,0.2794899344444275
13,749,0.882720410823822,1.3207368850708008,1.2324647903442383,12.640567779541016,0.1760634034872055,,,,,
13,759,0.84031081199646,1.2322238683700562,1.1481927633285522,12.948164939880371,0.2808157801628113,,,,,
13,769,0.8763660192489624,1.3364616632461548,1.2488250732421875,12.583296775817871,0.22468534111976624,,,,,
13,779,0.8829028010368347,1.342333197593689,1.2540428638458252,12.565189361572266,0.2524045407772064,,,,,
13,789,0.8977689146995544,1.3837850093841553,1.2940081357955933,12.428942680358887,0.23896439373493195,,,,,
13,797,,,,,,0.703902006149292,0.9127035140991211,0.8423134088516235,14.317307472229004,0.29158177971839905
14,799,0.8770433068275452,1.3349952697753906,1.2472909688949585,12.588635444641113,0.2296421080827713,,,,,
14,809,0.9132395386695862,1.404403805732727,1.313079833984375,12.365402221679688,0.2218351662158966,,,,,
14,819,0.883285403251648,1.386148452758789,1.297819972038269,12.416169166564941,0.24647703766822815,,,,,
14,829,0.8388888835906982,1.2593104839324951,1.1754215955734253,12.8463773727417,0.21642152965068817,,,,,
14,839,0.9046016335487366,1.3732459545135498,1.2827857732772827,12.466772079467773,0.20898959040641785,,,,,
14,849,0.85256028175354,1.2891706228256226,1.2039146423339844,12.742356300354004,0.25728610157966614,,,,,
14,854,,,,,,0.7031894326210022,0.9121499061584473,0.8418309688568115,14.319811820983887,0.29338598251342773
15,859,0.8926397562026978,1.3392553329467773,1.2499912977218628,12.579243659973145,0.24870727956295013,,,,,
15,869,0.8896042108535767,1.3708348274230957,1.281874418258667,12.469858169555664,0.2202310562133789,,,,,
15,879,0.8452572822570801,1.26663076877594,1.1821050643920898,12.821752548217773,0.20524057745933533,,,,,
15,889,0.8951777219772339,1.379969835281372,1.290452003479004,12.440895080566406,0.24741511046886444,,,,,
15,899,0.8631405830383301,1.289621353149414,1.2033072710037231,12.744547843933105,0.21627624332904816,,,,,
15,909,0.8402641415596008,1.2865259647369385,1.202499508857727,12.747465133666992,0.23225834965705872,,,,,
15,911,,,,,,0.7124762535095215,0.9159678816795349,0.8447203636169434,14.304727554321289,0.2756233215332031
16,919,0.8861936926841736,1.3408061265945435,1.2521867752075195,12.571622848510742,0.2464289665222168,,,,,
16,929,0.9911004900932312,1.578303575515747,1.4791935682296753,11.848063468933105,0.18014445900917053,,,,,
16,939,0.9285033941268921,1.433393120765686,1.3405427932739258,12.275506973266602,0.2440047264099121,,,,,
16,949,0.863013505935669,1.310694694519043,1.224393367767334,12.669103622436523,0.2319171130657196,,,,,
16,959,0.903439462184906,1.3682388067245483,1.2778948545455933,12.483363151550293,0.2546679973602295,,,,,
16,968,,,,,,0.7022798657417297,0.9115763902664185,0.8413485884666443,14.32231616973877,0.29684531688690186
17,969,0.9167444705963135,1.3921836614608765,1.3005092144012451,12.40717887878418,0.1910218894481659,,,,,
17,979,0.916513204574585,1.4113657474517822,1.3197144269943237,12.343513488769531,0.21886008977890015,,,,,
17,989,0.8800926804542542,1.366165041923523,1.27815580368042,12.482475280761719,0.21624937653541565,,,,,
