epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.0625,3.43133544921875,,
0,19,0.0625,3.358184814453125,,
0,24,,,0.05683355778455734,3.3856945037841797
1,29,0.0625,3.5009765625,,
1,39,0.0625,3.37603759765625,,
1,49,0.0,3.5990512371063232,,
1,49,,,0.06495264172554016,3.320693016052246
2,59,0.0625,3.386474609375,,
2,69,0.0,3.31988525390625,,
2,74,,,0.09066306054592133,3.309260845184326
3,79,0.0625,3.45867919921875,,
3,89,0.03125,3.314453125,,
3,99,0.1428571492433548,3.3549106121063232,,
3,99,,,0.08795669674873352,3.290151357650757
4,109,0.0625,3.37152099609375,,
4,119,0.0,3.34210205078125,,
4,124,,,0.07307171821594238,3.255481481552124
5,129,0.0625,3.29547119140625,,
5,139,0.0,3.3070068359375,,
5,149,0.1428571492433548,3.373046875,,
5,149,,,0.08389715850353241,3.2592198848724365
6,159,0.03125,3.2301025390625,,
6,169,0.125,3.236083984375,,
6,174,,,0.08660351485013962,3.2604382038116455
7,179,0.09375,3.357269287109375,,
7,189,0.0,3.48370361328125,,
7,199,0.1428571492433548,3.3783481121063232,,
7,199,,,0.08930987864732742,3.238879919052124
8,209,0.0,3.209808349609375,,
8,219,0.0,3.42138671875,,
8,224,,,0.08254397660493851,3.254528760910034
9,229,0.0625,3.2618255615234375,,
9,239,0.125,3.449798583984375,,
9,249,0.1428571492433548,3.1802456378936768,,
9,249,,,0.09336941689252853,3.2548999786376953
10,259,0.03125,3.26531982421875,,
10,269,0.03125,3.32061767578125,,
10,274,,,0.10284167528152466,3.2445013523101807
11,279,0.125,3.217041015625,,
11,289,0.03125,3.1689453125,,
11,299,0.1428571492433548,3.2670199871063232,,
11,299,,,0.10148850083351135,3.218357563018799
12,309,0.0625,3.15576171875,,
12,319,0.0625,3.23175048828125,,
12,324,,,0.09472259879112244,3.2230236530303955
13,329,0.09375,3.2230224609375,,
13,339,0.03125,3.1776123046875,,
13,349,0.0,3.286830425262451,,
13,349,,,0.08254397660493851,3.262822151184082
14,359,0.0,3.30322265625,,
14,369,0.125,3.19189453125,,
14,374,,,0.11366711556911469,3.2169580459594727
15,379,0.03125,3.236572265625,,
15,389,0.15625,3.30133056640625,,
15,399,0.2857142984867096,3.015625,,
15,399,,,0.10825439542531967,3.2485735416412354
16,409,0.03125,3.40301513671875,,
16,419,0.09375,3.31494140625,,
16,424,,,0.09066306054592133,3.2396609783172607
17,429,0.0625,3.23602294921875,,
17,439,0.03125,3.3277587890625,,
17,449,0.1428571492433548,3.185825824737549,,
17,449,,,0.10419485718011856,3.2355101108551025
18,459,0.09375,3.2493896484375,,
18,469,0.0625,3.2529296875,,
18,474,,,0.09472259879112244,3.222649574279785
19,479,0.03125,3.3382568359375,,
19,489,0.03125,3.38616943359375,,
19,499,0.0,3.359096050262451,,
19,499,,,0.10960757732391357,3.2142627239227295
20,509,0.15625,3.24755859375,,
20,519,0.0625,3.1455078125,,
20,524,,,0.10284167528152466,3.245919942855835
21,529,0.0,3.2646484375,,
21,539,0.03125,3.3040771484375,,
21,549,0.0,3.4497768878936768,,
21,549,,,0.08525034040212631,3.225546360015869
22,559,0.03125,3.22662353515625,,
22,569,0.03125,3.16796875,,
22,574,,,0.11231394112110138,3.2069122791290283
23,579,0.03125,3.34808349609375,,
23,589,0.0,3.2239990234375,,
23,599,0.2857142984867096,2.935825824737549,,
23,599,,,0.0771312564611435,3.2218143939971924
24,609,0.125,3.156005859375,,
24,619,0.09375,3.196136474609375,,
24,624,,,0.09472259879112244,3.238664388656616
25,629,0.125,3.23980712890625,,
25,639,0.125,3.12786865234375,,
25,649,0.0,3.1941964626312256,,
25,649,,,0.10825439542531967,3.2309534549713135
26,659,0.125,3.133026123046875,,
26,669,0.0625,3.224853515625,,
26,674,,,0.10825439542531967,3.215886354446411
27,679,0.0625,3.174407958984375,,
27,689,0.09375,3.31866455078125,,
27,699,0.0,3.5161831378936768,,
27,699,,,0.11772666126489639,3.2132091522216797
28,709,0.03125,3.2337646484375,,
28,719,0.0625,3.20953369140625,,
28,724,,,0.1190798357129097,3.2011125087738037
29,729,0.09375,3.200531005859375,,
29,739,0.03125,3.46746826171875,,
29,749,0.1428571492433548,3.5072543621063232,,
29,749,,,0.1190798357129097,3.2102489471435547
30,759,0.0,3.356689453125,,
30,769,0.125,3.29473876953125,,
30,774,,,0.09607578068971634,3.22329044342041
31,779,0.03125,3.341644287109375,,
31,789,0.09375,3.1695556640625,,
31,799,0.1428571492433548,2.855189800262451,,
31,799,,,0.11231394112110138,3.2058300971984863
32,809,0.0625,3.2808837890625,,
32,819,0.03125,3.1129150390625,,
32,824,,,0.12584573030471802,3.2240331172943115
33,829,0.03125,3.17083740234375,,
33,839,0.0,3.2796630859375,,
33,849,0.1428571492433548,3.3306362628936768,,
33,849,,,0.11772666126489639,3.2253994941711426
34,859,0.0625,3.20281982421875,,
34,869,0.0625,3.20379638671875,,
34,874,,,0.1217861995100975,3.203076124191284
