epoch,step,train_l1_loss,train_loss,train_mse_loss,train_psnr,train_ssim,val_l1_loss,val_loss,val_mse_loss,val_psnr,val_ssim
0,9,1.1119548082351685,1.822757363319397,1.711561918258667,11.214386940002441,-0.002086600288748741,,,,,
0,19,1.0333888530731201,1.6073249578475952,1.503986120223999,11.775875091552734,0.016129285097122192,,,,,
0,29,1.1225006580352783,1.8223178386688232,1.7100677490234375,11.218180656433105,0.012264378368854523,,,,,
0,39,1.002200722694397,1.5626649856567383,1.4624449014663696,11.8975191116333,0.04451131820678711,,,,,
0,49,0.9997458457946777,1.5305413007736206,1.430566668510437,11.993232727050781,0.045847393572330475,,,,,
0,56,,,,,,0.8066034317016602,1.0487116575241089,0.9680512547492981,13.708086967468262,0.14732803404331207
1,59,0.9463943839073181,1.4156476259231567,1.3210082054138184,12.339258193969727,0.0859713926911354,,,,,
1,69,0.9985484480857849,1.5581104755401611,1.458255648612976,11.909976959228516,0.10239811986684799,,,,,
1,79,1.0000405311584473,1.5507463216781616,1.450742244720459,11.932411193847656,0.11848218739032745,,,,,
1,89,0.9726647138595581,1.5202711820602417,1.4230047464370728,12.016250610351562,0.1504913568496704,,,,,
1,99,0.9555891156196594,1.4558078050613403,1.3602489233016968,12.212129592895508,0.0991935059428215,,,,,
1,109,0.947847306728363,1.416518211364746,1.3217334747314453,12.336874008178711,0.12711328268051147,,,,,
1,113,,,,,,0.7512338161468506,0.966966450214386,0.8918431401252747,14.06713581085205,0.211371049284935
2,119,0.9807477593421936,1.4986653327941895,1.4005905389785767,12.085201263427734,0.18469858169555664,,,,,
2,129,0.9287059307098389,1.412408709526062,1.3195381164550781,12.344094276428223,0.21642111241817474,,,,,
2,139,0.92523193359375,1.4114105701446533,1.3188873529434204,12.346236228942871,0.15171660482883453,,,,,
2,149,0.9696189165115356,1.4818543195724487,1.384892463684082,12.13415241241455,0.12235264480113983,,,,,
2,159,0.8981125950813293,1.3460866212844849,1.2562754154205322,12.557464599609375,0.18145880103111267,,,,,
2,169,0.9326540231704712,1.4305392503738403,1.3372738361358643,12.286109924316406,0.21941882371902466,,,,,
2,170,,,,,,0.7289073467254639,0.936430037021637,0.863539457321167,14.208182334899902,0.24259498715400696
3,179,0.8992326259613037,1.3785607814788818,1.2886375188827515,12.447005271911621,0.2165098786354065,,,,,
3,189,0.925534188747406,1.4139647483825684,1.321411371231079,12.337933540344238,0.19043755531311035,,,,,
3,199,0.8990341424942017,1.3568015098571777,1.2668980360031128,12.520896911621094,0.15222473442554474,,,,,
3,209,0.8703314065933228,1.305849552154541,1.2188163995742798,12.68893051147461,0.2069144994020462,,,,,
3,219,0.8998392224311829,1.3873335123062134,1.2973495721817017,12.417742729187012,0.2183627188205719,,,,,
3,227,,,,,,0.719683051109314,0.9279208779335022,0.8559527397155762,14.246902465820312,0.260358989238739
4,229,0.9290180802345276,1.4224885702133179,1.3295867443084717,12.31114673614502,0.20554304122924805,,,,,
4,239,0.9134148359298706,1.3265751600265503,1.2352336645126343,12.630821228027344,0.23697243630886078,,,,,
4,249,0.9402824640274048,1.454915165901184,1.3608869314193726,12.210092544555664,0.1730235517024994,,,,,
4,259,0.9513837099075317,1.470560073852539,1.3754217624664307,12.163954734802246,0.20586726069450378,,,,,
4,269,0.9283877611160278,1.4314098358154297,1.3385710716247559,12.281898498535156,0.16970250010490417,,,,,
4,279,0.9271284937858582,1.4475606679916382,1.35484778881073,12.229409217834473,0.17855045199394226,,,,,
4,284,,,,,,0.7163186073303223,0.9239968657493591,0.8523647785186768,14.265236854553223,0.2678103446960449
5,289,0.8742337226867676,1.3351621627807617,1.2477388381958008,12.587076187133789,0.19476541876792908,,,,,
