epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.03125,3.3980712890625,,
0,19,0.09375,3.62371826171875,,
0,24,,,0.05142083764076233,7.530429363250732
1,29,0.125,3.1824798583984375,,
1,39,0.15625,3.376617431640625,,
1,49,0.4285714328289032,2.6414620876312256,,
1,49,,,0.10690122097730637,3.1662967205047607
2,59,0.15625,3.032806396484375,,
2,69,0.15625,3.01910400390625,,
2,74,,,0.13261163234710693,3.0915415287017822
3,79,0.28125,2.7039337158203125,,
3,89,0.125,3.192657470703125,,
3,99,0.2857142984867096,2.9896762371063232,,
3,99,,,0.10284167528152466,3.7157185077667236
4,109,0.09375,2.846874237060547,,
4,119,0.21875,2.733062744140625,,
4,124,,,0.17456021904945374,2.9029390811920166
5,129,0.09375,2.978851318359375,,
5,139,0.125,2.982025146484375,,
5,149,0.2857142984867096,2.777064800262451,,
5,149,,,0.14343707263469696,3.1665871143341064
6,159,0.1875,2.7434463500976562,,
6,169,0.21875,2.56878662109375,,
6,174,,,0.16779431700706482,3.208375930786133
7,179,0.25,2.6383285522460938,,
7,189,0.125,2.876983642578125,,
7,199,0.4285714328289032,2.83984375,,
7,199,,,0.22192151844501495,2.6137044429779053
8,209,0.28125,2.64862060546875,,
8,219,0.25,2.6913299560546875,,
8,224,,,0.21515561640262604,2.6428589820861816
9,229,0.125,2.7701568603515625,,
9,239,0.0625,2.96112060546875,,
9,249,0.2857142984867096,2.655971050262451,,
9,249,,,0.1975642740726471,2.7500147819519043
10,259,0.28125,2.407501220703125,,
10,269,0.1875,2.4359512329101562,,
10,274,,,0.22598105669021606,2.732351779937744
11,279,0.34375,2.352508544921875,,
11,289,0.1875,2.441192626953125,,
11,299,0.4285714328289032,2.624302387237549,,
11,299,,,0.2706359922885895,2.5303165912628174
12,309,0.21875,2.5374298095703125,,
12,319,0.1875,2.581024169921875,,
12,324,,,0.19079837203025818,2.962027072906494
13,329,0.375,2.2895355224609375,,
13,339,0.21875,2.447235107421875,,
13,349,0.1428571492433548,3.4857699871063232,,
13,349,,,0.23139376938343048,2.6970481872558594
14,359,0.125,2.7637481689453125,,
14,369,0.5625,1.8814849853515625,,
14,374,,,0.21515561640262604,2.8199074268341064
15,379,0.34375,2.4748077392578125,,
15,389,0.21875,2.805450439453125,,
15,399,0.2857142984867096,2.0796597003936768,,
15,399,,,0.22462788224220276,2.6226391792297363
16,409,0.25,2.4568634033203125,,
16,419,0.15625,2.3013534545898438,,
16,424,,,0.2449255734682083,2.5428600311279297
17,429,0.125,2.4007949829101562,,
17,439,0.1875,2.7284698486328125,,
17,449,0.1428571492433548,2.271484375,,
17,449,,,0.23545332252979279,2.6750383377075195
18,459,0.28125,2.3729095458984375,,
18,469,0.34375,2.061389923095703,,
18,474,,,0.3179973065853119,2.2578418254852295
19,479,0.375,2.2630462646484375,,
19,489,0.4375,2.380218505859375,,
19,499,0.4285714328289032,2.7001254558563232,,
19,499,,,0.3220568299293518,2.2227652072906494
20,509,0.34375,1.95404052734375,,
20,519,0.34375,2.203624725341797,,
20,524,,,0.3193504810333252,2.4609553813934326
21,529,0.25,2.552021026611328,,
21,539,0.28125,1.9286727905273438,,
21,549,0.5714285969734192,1.7064732313156128,,
21,549,,,0.3274695575237274,2.2297146320343018
22,559,0.3125,2.077899932861328,,
22,569,0.40625,1.8943328857421875,,
22,574,,,0.29634642601013184,2.3158442974090576
23,579,0.28125,2.0684585571289062,,
23,589,0.4375,1.8826789855957031,,
23,599,0.4285714328289032,1.8472726345062256,,
23,599,,,0.3653585910797119,2.2060129642486572
24,609,0.40625,1.9609031677246094,,
24,619,0.28125,1.9455299377441406,,
24,624,,,0.2855209708213806,2.433098793029785
25,629,0.375,1.8885326385498047,,
25,639,0.25,2.34979248046875,,
25,649,0.0,2.295619487762451,,
25,649,,,0.37347766757011414,2.1445300579071045
26,659,0.40625,1.8985595703125,,
26,669,0.46875,1.6583194732666016,,
26,674,,,0.38700947165489197,1.9843517541885376
27,679,0.5625,1.6029376983642578,,
27,689,0.34375,1.8316268920898438,,
27,699,0.2857142984867096,2.90966796875,,
27,699,,,0.38430312275886536,2.3011014461517334
28,709,0.5,1.6870193481445312,,
28,719,0.5625,1.5787620544433594,,
28,724,,,0.3978349268436432,2.124181032180786
29,729,0.5,1.8354969024658203,,
29,739,0.46875,1.8350181579589844,,
29,749,0.4285714328289032,2.365199565887451,,
29,749,,,0.38565629720687866,2.0333454608917236
30,759,0.46875,1.7814664840698242,,
30,769,0.4375,1.6749114990234375,,
30,774,,,0.4127199053764343,2.0197598934173584
31,779,0.53125,1.7393798828125,,
31,789,0.25,2.262183666229248,,
31,799,0.2857142984867096,1.9398367404937744,,
31,799,,,0.42083898186683655,2.016094207763672
32,809,0.28125,1.9211273193359375,,
32,819,0.3125,1.686335563659668,,
32,824,,,0.42489850521087646,2.031888008117676
33,829,0.4375,1.7312555313110352,,
33,839,0.5,1.5662930011749268,,
33,849,0.1428571492433548,2.2201449871063232,,
33,849,,,0.4763193428516388,1.8394945859909058
34,859,0.46875,1.5740966796875,,
34,869,0.46875,1.6851797103881836,,
34,874,,,0.46008118987083435,1.8437579870224
35,879,0.46875,1.809366226196289,,
35,889,0.46875,1.5949373245239258,,
