epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.06495264172554016,3.329960584640503
1,9,0.03125,3.39068603515625,,
1,17,,,0.062246277928352356,3.3111231327056885
2,19,0.0625,3.272186279296875,,
2,26,,,0.054127197712659836,3.3489162921905518
3,29,0.03125,3.26702880859375,,
3,35,,,0.058186739683151245,3.305342674255371
4,39,0.0625,3.3275604248046875,,
4,44,,,0.05277401953935623,3.322038412094116
5,49,0.03125,3.413360595703125,,
5,53,,,0.04330175742506981,3.323051929473877
6,59,0.03125,3.2208251953125,,
6,62,,,0.04871447756886482,3.305044412612915
7,69,0.0625,3.3055419921875,,
7,71,,,0.058186739683151245,3.299360752105713
8,79,0.03125,3.5565185546875,,
8,80,,,0.07036536186933517,3.3176186084747314
9,89,0.0,3.6005859375,,
9,89,,,0.058186739683151245,3.3082330226898193
10,98,,,0.041948579251766205,3.289667844772339
11,99,0.03125,3.237518310546875,,
11,107,,,0.06359945982694626,3.281543254852295
12,109,0.0625,3.304962158203125,,
12,116,,,0.06765899807214737,3.2790417671203613
13,119,0.0,3.46038818359375,,
13,125,,,0.06765899807214737,3.302217721939087
14,129,0.0625,3.2684326171875,,
14,134,,,0.09472259879112244,3.2761855125427246
15,139,0.09375,3.3037109375,,
15,143,,,0.07036536186933517,3.2627930641174316
16,149,0.03125,3.3543701171875,,
16,152,,,0.08525034040212631,3.263728618621826
17,159,0.0625,3.23162841796875,,
17,161,,,0.08254397660493851,3.278576612472534
18,169,0.125,3.301055908203125,,
18,170,,,0.05142083764076233,3.3169586658477783
19,179,0.5,3.2158203125,,
19,179,,,0.07171853631734848,3.2640016078948975
20,188,,,0.08254397660493851,3.2924203872680664
21,189,0.03125,3.35174560546875,,
21,197,,,0.0771312564611435,3.2615904808044434
22,199,0.09375,3.34210205078125,,
22,206,,,0.10013531893491745,3.2585320472717285
23,209,0.0,3.45770263671875,,
23,215,,,0.09066306054592133,3.247222900390625
24,219,0.15625,3.07122802734375,,
24,224,,,0.10013531893491745,3.2454283237457275
25,229,0.0625,3.2137451171875,,
25,233,,,0.12313937395811081,3.2421669960021973
26,239,0.09375,3.128509521484375,,
26,242,,,0.11637347936630249,3.2369320392608643
27,249,0.125,3.1805419921875,,
27,251,,,0.11231394112110138,3.228268623352051
28,259,0.125,3.303802490234375,,
28,260,,,0.12990528345108032,3.22914981842041
29,269,0.0,3.0166015625,,
29,269,,,0.09472259879112244,3.2439846992492676
30,278,,,0.0811907947063446,3.2386584281921387
31,279,0.0625,3.2098388671875,,
31,287,,,0.10148850083351135,3.226719856262207
32,289,0.15625,3.166412353515625,,
32,296,,,0.11502029746770859,3.226315975189209
33,299,0.03125,3.28729248046875,,
33,305,,,0.08525034040212631,3.239495038986206
34,309,0.09375,3.2215576171875,,
34,314,,,0.08660351485013962,3.2394015789031982
35,319,0.0,3.5489501953125,,
35,323,,,0.04871447756886482,3.2733066082000732
36,329,0.0625,3.495574951171875,,
36,332,,,0.09336941689252853,3.2516980171203613
37,339,0.15625,3.27764892578125,,
37,341,,,0.09066306054592133,3.238456964492798
38,349,0.09375,3.20770263671875,,
38,350,,,0.09201623499393463,3.255070447921753
39,359,0.0,3.744140625,,
39,359,,,0.0811907947063446,3.270232915878296
40,368,,,0.09472259879112244,3.2363545894622803
41,369,0.125,3.0889434814453125,,
41,377,,,0.10554803907871246,3.2282261848449707
42,379,0.09375,3.412628173828125,,
42,386,,,0.10554803907871246,3.219353199005127
43,389,0.0625,3.42584228515625,,
43,395,,,0.10690122097730637,3.221299648284912
