epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.06765899807214737,3.3356032371520996
1,9,0.0625,3.240814208984375,,
1,17,,,0.06630581617355347,3.3367297649383545
2,19,0.0625,3.45855712890625,,
2,26,,,0.05953991785645485,3.36330246925354
3,29,0.125,3.2916259765625,,
3,35,,,0.062246277928352356,3.314669609069824
4,39,0.03125,3.34674072265625,,
4,44,,,0.058186739683151245,3.3108673095703125
5,49,0.09375,3.32525634765625,,
5,53,,,0.04465493932366371,3.314246416091919
6,59,0.0,3.46014404296875,,
6,62,,,0.06901217997074127,3.2942914962768555
7,69,0.0,3.4993896484375,,
7,71,,,0.0771312564611435,3.2695207595825195
8,79,0.03125,3.304473876953125,,
8,80,,,0.07442490011453629,3.287151575088501
9,89,0.0,3.83203125,,
9,89,,,0.062246277928352356,3.3094308376312256
10,98,,,0.05683355778455734,3.289456844329834
11,99,0.0,3.3289794921875,,
11,107,,,0.05953991785645485,3.290846586227417
12,109,0.09375,3.200031280517578,,
12,116,,,0.06630581617355347,3.298837423324585
13,119,0.0625,3.298583984375,,
13,125,,,0.06359945982694626,3.2978224754333496
14,129,0.09375,3.33172607421875,,
14,134,,,0.09201623499393463,3.314239025115967
15,139,0.03125,3.207916259765625,,
15,143,,,0.09607578068971634,3.283902168273926
16,149,0.0,3.427978515625,,
16,152,,,0.0771312564611435,3.2762179374694824
17,159,0.09375,3.40289306640625,,
17,161,,,0.05953991785645485,3.2951717376708984
18,169,0.03125,3.283935546875,,
18,170,,,0.07577808201313019,3.2743003368377686
19,179,0.5,3.029296875,,
19,179,,,0.10284167528152466,3.2756588459014893
20,188,,,0.10960757732391357,3.293527841567993
21,189,0.09375,3.3527069091796875,,
21,197,,,0.11637347936630249,3.265413522720337
22,199,0.15625,3.136566162109375,,
22,206,,,0.1190798357129097,3.262103319168091
23,209,0.09375,3.50701904296875,,
23,215,,,0.09607578068971634,3.294980049133301
24,219,0.0,3.50531005859375,,
24,224,,,0.09878213703632355,3.274592399597168
25,229,0.09375,3.21197509765625,,
25,233,,,0.09472259879112244,3.2775697708129883
26,239,0.03125,3.3062744140625,,
26,242,,,0.10419485718011856,3.271880865097046
27,249,0.09375,3.22137451171875,,
27,251,,,0.10825439542531967,3.269864320755005
28,259,0.03125,3.3211669921875,,
28,260,,,0.11366711556911469,3.27081561088562
29,269,0.5,3.111328125,,
29,269,,,0.0811907947063446,3.25455641746521
30,278,,,0.08795669674873352,3.2639005184173584
31,279,0.03125,3.285308837890625,,
31,287,,,0.08660351485013962,3.255399465560913
32,289,0.125,3.217193603515625,,
32,296,,,0.08795669674873352,3.2654504776000977
33,299,0.0625,3.18994140625,,
33,305,,,0.0798376202583313,3.2577099800109863
34,309,0.0625,3.2938232421875,,
34,314,,,0.0798376202583313,3.249225616455078
35,319,0.15625,3.191497802734375,,
35,323,,,0.0784844383597374,3.244760751724243
36,329,0.09375,3.35223388671875,,
36,332,,,0.0784844383597374,3.2557430267333984
37,339,0.125,3.1601333618164062,,
37,341,,,0.08389715850353241,3.243640422821045
