epoch,step,train_loss,val_loss
0,9,1.5222041606903076,
0,19,1.525273084640503,
0,29,1.5415339469909668,
0,39,1.4721513986587524,
0,49,1.4965275526046753,
0,56,,0.9502023458480835
1,59,1.52141273021698,
1,69,1.4353724718093872,
1,79,1.2132896184921265,
1,89,1.499438762664795,
1,99,1.380051612854004,
1,109,1.4211832284927368,
1,113,,0.8817715048789978
2,119,1.217834711074829,
2,129,1.361006498336792,
2,139,1.271352767944336,
2,149,1.2186179161071777,
2,159,1.2967523336410522,
2,169,1.2079955339431763,
2,170,,0.859208881855011
3,179,1.3465741872787476,
3,189,1.1765308380126953,
3,199,1.2949432134628296,
3,209,1.3798363208770752,
3,219,1.3022606372833252,
3,227,,0.85113924741745
4,229,1.377100944519043,
4,239,1.3380463123321533,
4,249,1.289528727531433,
4,259,1.2678077220916748,
4,269,1.2900601625442505,
4,279,1.3200428485870361,
4,284,,0.8472095131874084
5,289,1.3299860954284668,
5,299,1.2378259897232056,
5,309,1.3421086072921753,
5,319,1.3548898696899414,
5,329,1.2073752880096436,
5,339,1.3268604278564453,
5,341,,0.842922568321228
6,349,1.2833621501922607,
6,359,1.3324871063232422,
6,369,1.3815631866455078,
6,379,1.392283320426941,
6,389,1.2834714651107788,
6,398,,0.8415323495864868
7,399,1.2115243673324585,
7,409,1.1232364177703857,
7,419,1.3249214887619019,
7,429,1.296203851699829,
7,439,1.208214282989502,
7,449,1.150231957435608,
7,455,,0.8414067029953003
8,459,1.3953930139541626,
8,469,1.3147468566894531,
8,479,1.2085089683532715,
8,489,1.2708346843719482,
8,499,1.1894537210464478,
8,509,1.237790584564209,
8,512,,0.840708315372467
9,519,1.2705262899398804,
9,529,1.1755717992782593,
9,539,1.2474788427352905,
9,549,1.1914770603179932,
9,559,1.218199372291565,
9,569,1.2128629684448242,
9,569,,0.8416882753372192
10,579,1.2672405242919922,
10,589,1.4171077013015747,
10,599,1.2222821712493896,
10,609,1.2567366361618042,
10,619,1.403325080871582,
10,626,,0.8389511108398438
11,629,1.3499739170074463,
11,639,1.19209623336792,
11,649,1.231509804725647,
11,659,1.2409344911575317,
11,669,1.1990687847137451,
11,679,1.3570430278778076,
11,683,,0.8411502838134766
12,689,1.395039677619934,
12,699,1.2344573736190796,
12,709,1.2021857500076294,
12,719,1.3110926151275635,
12,729,1.1235618591308594,
12,739,1.211938738822937,
12,740,,0.8386566638946533
13,749,1.3496379852294922,
13,759,1.3245642185211182,
13,769,1.336495280265808,
13,779,1.2922736406326294,
13,789,1.2279952764511108,
13,797,,0.8384827375411987
14,799,1.3674694299697876,
14,809,1.2337843179702759,
14,819,1.1759636402130127,
14,829,1.2122914791107178,
14,839,1.3761235475540161,
14,849,1.255584955215454,
14,854,,0.8393326997756958
15,859,1.173136591911316,
15,869,1.226943016052246,
15,879,1.2815680503845215,
15,889,1.3763316869735718,
15,899,1.40376877784729,
15,909,1.314375877380371,
15,911,,0.8385802507400513
16,919,1.231656789779663,
16,929,1.29421865940094,
16,939,1.3733611106872559,
16,949,1.2067359685897827,
16,959,1.306275725364685,
16,968,,0.8385645151138306
17,969,1.3191883563995361,
17,979,1.1425182819366455,
17,989,1.3486106395721436,
17,999,1.303574562072754,
17,1009,1.1158467531204224,
17,1019,1.3378674983978271,
17,1025,,0.8378741145133972
18,1029,1.2006231546401978,
18,1039,1.2718653678894043,
18,1049,1.2664483785629272,
18,1059,1.260436773300171,
18,1069,1.4146924018859863,
18,1079,1.3758137226104736,
18,1082,,0.8388010859489441
19,1089,1.3156590461730957,
19,1099,1.33491051197052,
19,1109,1.3053069114685059,
19,1119,1.3776079416275024,
19,1129,1.284753680229187,
19,1139,1.186293363571167,
19,1139,,0.8381341695785522
20,1149,1.3097416162490845,
20,1159,1.3005833625793457,
20,1169,1.2719886302947998,
20,1179,1.258771300315857,
20,1189,1.2357310056686401,
20,1196,,0.837805449962616
21,1199,1.2969187498092651,
21,1209,1.3416075706481934,
21,1219,1.251943588256836,
21,1229,1.2979636192321777,
21,1239,1.3502295017242432,
21,1249,1.175766944885254,
21,1253,,0.8381665349006653
22,1259,1.2693901062011719,
22,1269,1.3898718357086182,
22,1279,1.2574182748794556,
22,1289,1.2937664985656738,
22,1299,1.2509841918945312,
22,1309,1.2348445653915405,
22,1310,,0.8373324871063232
23,1319,1.1577403545379639,
23,1329,1.2525779008865356,
23,1339,1.1857187747955322,
23,1349,1.2419166564941406,
23,1359,1.2749689817428589,
23,1367,,0.8374820351600647
24,1369,1.2224392890930176,
