epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.0625,3.341217041015625,,
0,19,0.03125,3.438690185546875,,
0,24,,,0.05683355778455734,3.356879472732544
1,29,0.0625,3.320159912109375,,
1,39,0.0625,3.47857666015625,,
1,49,0.1428571492433548,3.1551339626312256,,
1,49,,,0.06359945982694626,3.3240549564361572
2,59,0.03125,3.4271240234375,,
2,69,0.03125,3.44805908203125,,
2,74,,,0.0784844383597374,3.321176767349243
3,79,0.03125,3.39202880859375,,
3,89,0.09375,3.33203125,,
3,99,0.0,3.7142856121063232,,
3,99,,,0.06359945982694626,3.2923529148101807
4,109,0.0,3.31146240234375,,
4,119,0.09375,3.353729248046875,,
4,124,,,0.0771312564611435,3.2855143547058105
5,129,0.03125,3.323638916015625,,
5,139,0.09375,3.396026611328125,,
5,149,0.0,3.3643972873687744,,
5,149,,,0.06630581617355347,3.2895257472991943
6,159,0.03125,3.27587890625,,
6,169,0.0625,3.38775634765625,,
6,174,,,0.08525034040212631,3.273495674133301
7,179,0.0625,3.29144287109375,,
7,189,0.0,3.34197998046875,,
7,199,0.0,3.510044574737549,,
7,199,,,0.0771312564611435,3.2952497005462646
8,209,0.03125,3.4237060546875,,
8,219,0.03125,3.18939208984375,,
8,224,,,0.0811907947063446,3.278050661087036
9,229,0.09375,3.3157958984375,,
9,239,0.125,3.29461669921875,,
9,249,0.0,3.3856027126312256,,
9,249,,,0.09066306054592133,3.2749698162078857
10,259,0.15625,3.30126953125,,
10,269,0.125,3.275177001953125,,
10,274,,,0.10960757732391357,3.28286075592041
11,279,0.15625,3.33721923828125,,
11,289,0.125,3.172821044921875,,
11,299,0.0,3.4285714626312256,,
11,299,,,0.08660351485013962,3.280555009841919
12,309,0.03125,3.339599609375,,
12,319,0.03125,3.3780517578125,,
12,324,,,0.08660351485013962,3.2661523818969727
13,329,0.03125,3.238433837890625,,
13,339,0.09375,3.2388916015625,,
13,349,0.1428571492433548,3.103515625,,
13,349,,,0.07307171821594238,3.286916494369507
14,359,0.03125,3.250579833984375,,
14,369,0.125,3.1632080078125,,
14,374,,,0.09066306054592133,3.265439033508301
15,379,0.0625,3.302490234375,,
15,389,0.0625,3.35540771484375,,
15,399,0.1428571492433548,3.167689800262451,,
15,399,,,0.09472259879112244,3.266230821609497
16,409,0.0625,3.4420166015625,,
16,419,0.03125,3.40557861328125,,
16,424,,,0.08525034040212631,3.271369457244873
17,429,0.0625,3.36895751953125,,
17,439,0.0625,3.34344482421875,,
17,449,0.0,3.3839285373687744,,
17,449,,,0.09336941689252853,3.2675821781158447
18,459,0.0625,3.192901611328125,,
18,469,0.0625,3.28448486328125,,
18,474,,,0.0784844383597374,3.2907896041870117
19,479,0.09375,3.30535888671875,,
19,489,0.03125,3.3726806640625,,
19,499,0.0,3.4366629123687744,,
19,499,,,0.09336941689252853,3.2656619548797607
20,509,0.0625,3.2767333984375,,
20,519,0.0625,3.15887451171875,,
20,524,,,0.10148850083351135,3.2517588138580322
21,529,0.125,3.333984375,,
21,539,0.0625,3.335693359375,,
21,549,0.0,3.2449777126312256,,
21,549,,,0.08389715850353241,3.2599573135375977
22,559,0.09375,3.29925537109375,,
22,569,0.0625,3.4049072265625,,
22,574,,,0.10148850083351135,3.2384707927703857
23,579,0.0,3.38739013671875,,
23,589,0.09375,3.2747802734375,,
23,599,0.0,3.1498324871063232,,
23,599,,,0.08930987864732742,3.2545814514160156
24,609,0.1875,3.253936767578125,,
24,619,0.09375,3.4185791015625,,
24,624,,,0.09878213703632355,3.24135422706604
25,629,0.09375,3.19970703125,,
25,639,0.125,3.29400634765625,,
25,649,0.2857142984867096,2.9384765625,,
25,649,,,0.09742895513772964,3.2498507499694824
