epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.031123138964176178,3.554581880569458
1,9,0.0625,3.39886474609375,,
1,17,,,0.054127197712659836,6.107694149017334
2,19,0.0,3.4886474609375,,
2,26,,,0.03518268093466759,10.68703842163086
3,29,0.125,3.19671630859375,,
3,35,,,0.07171853631734848,4.1499762535095215
4,39,0.09375,3.250457763671875,,
4,44,,,0.10013531893491745,3.293086051940918
5,49,0.1875,3.1375732421875,,
5,53,,,0.054127197712659836,3.433682918548584
6,59,0.09375,3.104583740234375,,
6,62,,,0.10419485718011856,3.4215238094329834
7,69,0.0625,3.237335205078125,,
7,71,,,0.06765899807214737,4.715373992919922
8,79,0.125,3.0800933837890625,,
8,80,,,0.10013531893491745,3.532433032989502
9,89,0.0,3.435546875,,
9,89,,,0.10284167528152466,3.7542667388916016
10,98,,,0.08389715850353241,4.975677967071533
11,99,0.21875,2.84674072265625,,
11,107,,,0.1190798357129097,3.758500099182129
12,109,0.25,2.6993637084960938,,
12,116,,,0.11366711556911469,3.2540416717529297
13,119,0.21875,2.70904541015625,,
13,125,,,0.10960757732391357,3.282132148742676
14,129,0.21875,2.6981201171875,,
14,134,,,0.11502029746770859,3.0826709270477295
15,139,0.03125,3.041046142578125,,
15,143,,,0.12855209410190582,3.061221122741699
16,149,0.3125,2.3991546630859375,,
16,152,,,0.12990528345108032,3.349273681640625
17,159,0.1875,2.7124176025390625,,
17,161,,,0.15155616402626038,3.029123544692993
18,169,0.15625,2.75445556640625,,
18,170,,,0.12990528345108032,3.1303532123565674
19,179,0.0,3.171875,,
19,179,,,0.1569688767194748,3.1038670539855957
20,188,,,0.11366711556911469,3.224963426589966
21,189,0.15625,2.7493896484375,,
21,197,,,0.14343707263469696,3.0090513229370117
22,199,0.28125,2.6436004638671875,,
22,206,,,0.17185385525226593,3.0621514320373535
23,209,0.15625,2.486968994140625,,
23,215,,,0.1623815894126892,3.1704742908477783
24,219,0.125,2.814483642578125,,
24,224,,,0.1623815894126892,2.992800235748291
25,229,0.25,2.5273895263671875,,
25,233,,,0.18538565933704376,2.9222843647003174
26,239,0.1875,2.4764633178710938,,
26,242,,,0.14614343643188477,3.078064203262329
27,249,0.25,2.582244873046875,,
27,251,,,0.18132612109184265,2.970167875289917
28,259,0.15625,2.641204833984375,,
28,260,,,0.14479026198387146,3.0350306034088135
29,269,0.0,3.234375,,
29,269,,,0.17185385525226593,2.9115638732910156
30,278,,,0.1637347787618637,3.246851682662964
31,279,0.25,2.5759124755859375,,
31,287,,,0.18403246998786926,2.945755958557129
32,289,0.1875,2.5619049072265625,,
32,296,,,0.1989174634218216,2.8884198665618896
33,299,0.25,2.2923583984375,,
33,305,,,0.18673883378505707,2.8209943771362305
34,309,0.21875,2.7080078125,,
34,314,,,0.18673883378505707,2.8947291374206543
35,319,0.125,2.445098876953125,,
35,323,,,0.18809202313423157,3.5763309001922607
36,329,0.21875,2.51776123046875,,
36,332,,,0.1664411425590515,3.387376070022583
37,339,0.375,2.16400146484375,,
37,341,,,0.18944519758224487,3.0862534046173096
38,349,0.34375,2.4703826904296875,,
38,350,,,0.16779431700706482,3.3289034366607666
39,359,0.0,4.525390625,,
39,359,,,0.1610284149646759,3.786877155303955
40,368,,,0.1948579102754593,3.1266565322875977
41,369,0.15625,2.3115234375,,
41,377,,,0.20703653991222382,2.827619791030884
42,379,0.28125,2.4703140258789062,,
42,386,,,0.20838971436023712,2.7010135650634766
43,389,0.21875,2.1146011352539062,,
43,395,,,0.22733423113822937,2.6569440364837646
44,399,0.34375,2.0281982421875,,
44,404,,,0.2368064969778061,2.644136428833008
45,409,0.3125,2.205718994140625,,
45,413,,,0.22868742048740387,2.724452018737793
46,419,0.1875,2.3619956970214844,,
46,422,,,0.25575101375579834,2.667239189147949
47,429,0.34375,2.3241195678710938,,
47,431,,,0.2422192096710205,2.6278724670410156
48,439,0.375,2.1790313720703125,,
48,440,,,0.2422192096710205,2.7111427783966064
49,449,0.5,3.2763671875,,
49,449,,,0.2422192096710205,2.636840343475342
